,index,id,word1,word2,similarity,relatedness,cosinus,euclidean
0,0,1,stary,nowy,0.43,7.29,0.6140838522184838,34.195494173536076
1,1,2,bystry,inteligentny,8.86,9.71,0.6407497853109628,18.51688690916105
2,2,3,ciężki,trudny,4.86,7.29,0.7274543497205729,24.660318803448284
3,3,4,szczęśliwy,radosny,8.14,8.86,0.7946677488618643,16.09048088516195
4,4,5,łatwy,męczący,0.43,6.43,0.5852112186955624,27.133395093680445
5,5,6,szybki,gwałtowny,3.71,7.0,0.5975216630440288,25.573912619456394
6,6,7,szczęśliwy,zadowolony,6.29,8.14,0.7348976719504653,16.891996110436683
7,7,8,krótki,długi,0.43,7.43,0.8892974768757353,14.322971789222828
8,8,9,głupi,tępy,7.57,9.14,0.6854897745934869,19.74635549072537
9,9,10,dziwny,niesamowity,4.57,6.14,0.8275700961684838,16.377578757275202
10,10,11,szeroki,wąski,0.43,7.43,0.8459669955460469,19.36418229254334
11,11,12,zły,okropny,6.57,8.29,0.7137492894668036,33.62127595768336
12,12,13,łatwy,uciążliwy,0.14,4.43,0.7167770302460745,23.33070950548663
13,13,14,zły,straszny,6.29,8.29,0.7074969515475054,33.336153857130626
14,14,15,skomplikowany,prosty,0.14,6.14,0.806429487163678,16.82507836380675
15,15,16,bystry,tępy,0.14,6.43,0.4251201636566034,24.58779934400897
16,16,17,obłąkany,zwariowany,7.29,8.29,0.7950935587548068,12.421127965694652
17,17,18,szczęśliwy,wściekły,0.14,5.29,0.5610693592366695,18.30872922041295
18,18,19,wielki,olbrzymi,9.14,9.57,0.8343667610389175,17.779923272096745
19,19,20,twardy,ciężki,1.86,5.57,0.6846761750457958,20.785724879882082
20,20,21,nowy,świeży,6.43,8.57,0.5102769058702432,37.47213650232323
21,21,22,ostry,tępy,0.43,7.43,0.49019264625331005,28.344908105758204
22,22,23,prędki,gwałtowny,4.29,6.43,0.7459735889540591,17.42101481729495
23,23,24,tępy,głupawy,8.29,8.71,0.6861249671254944,17.735895588435607
24,24,25,cudowny,wspaniały,9.14,9.86,0.876381527649049,12.033537476179271
25,25,26,dziwaczny,osobliwy,8.29,8.71,0.9183026208553242,9.812054684525153
26,26,27,szczęśliwy,zły,0.14,5.57,0.5592809132899911,37.83044348507203
27,27,28,wąski,rozległy,0.43,6.86,0.7886795711139983,22.333010046514417
28,28,29,prosty,łatwy,8.86,9.0,0.7413500739265135,22.72503960187405
29,29,30,stary,świeży,0.14,5.71,0.5331077686993776,25.53608797240719
30,30,31,widoczny,oczywisty,7.0,7.29,0.7458437177146098,19.777099581111354
31,31,32,niedrogi,tani,8.71,9.43,0.8490102112221912,22.037761025722258
32,32,33,miły,wielkoduszny,3.0,5.14,0.5540472811238812,34.16106732456725
33,33,34,dziwny,normalny,0.43,7.43,0.7032779826703932,21.091737308669
34,34,35,dziwny,osobliwy,8.71,8.86,0.8702568553536421,14.539342362160848
35,35,36,zły,niemoralny,5.86,8.29,0.5757174094400249,37.07054140925132
36,36,37,smutny,zabawny,0.43,5.57,0.7529261041247198,18.657579771748935
37,37,38,wspaniały,świetny,9.14,9.14,0.8848215228978422,13.920744778429757
38,38,39,winny,zawstydzony,0.57,4.43,0.6890283240817123,21.492170661500175
39,39,40,piękny,wspaniały,6.43,8.14,0.9014451861211858,14.329849887366615
40,40,41,przeświadczony,pewny,7.29,7.86,0.8199680582534145,18.27823014059975
41,41,42,głupol,tępy,7.43,8.14,0.6349264360351445,18.7178260893989
42,42,43,wielki,duży,8.71,9.0,0.7682398469720753,27.196670504258034
43,43,44,miły,okrutny,0.43,5.86,0.42023863449923277,38.05771696626773
44,44,45,niecierpliwy,niespokojny,4.71,6.57,0.8875131779361706,11.035224506248525
45,45,46,duży,szeroki,4.86,7.86,0.6945203352737028,30.710800463525267
46,46,47,silny,dumny,0.43,2.71,0.6525407528326579,29.782601579046975
47,47,48,niepotrzebny,potrzebny,0.43,7.43,0.8725530287882532,13.971005972542098
48,48,49,niespokojny,młody,0.43,2.71,0.5347512836714395,27.168473870701185
49,49,50,głupi,inteligentny,0.43,7.29,0.43444832249176923,25.51808641172395
50,50,51,zły,świetny,0.29,5.57,0.4320759610234173,42.02983572002647
51,51,52,trudny,prosty,0.14,6.29,0.7151433806136478,25.22492022411403
52,52,53,potrzebny,ważny,6.86,7.43,0.8214083725194065,21.586150669622295
53,53,54,zły,niesamowity,0.29,3.86,0.5135615111221914,38.869007152959846
54,54,55,szalony,zadowolony,0.29,2.71,0.6055986101446922,21.42817487476789
55,55,56,uczciwy,winny,0.43,3.43,0.700454143797747,21.576371988396264
56,56,57,łatwy,trudny,0.14,6.86,0.8282291920260271,20.454666442240043
57,57,58,łatwy,elastyczny,1.57,2.29,0.6923673331895056,25.180002800764044
58,58,59,niewątpliwy,pewny,7.43,8.0,0.8316442846132233,17.40257973638854
59,59,60,istotny,potrzebny,7.43,8.29,0.7673335008362525,22.192452750134358
60,60,61,inny,normalny,0.43,6.29,0.8074742805772152,22.404528845111205
61,61,62,chytry,mądry,2.14,4.57,0.64775759911612,19.090985735028575
62,62,63,istotny,ważny,9.43,9.57,0.9271391113725351,14.106584287800183
63,63,64,przykry,okrutny,4.0,5.71,0.7284835430433001,19.601762077506223
64,64,65,dziecinny,głupi,4.86,6.71,0.4234881619663339,26.37533695792001
65,65,66,unikatowy,rzadki,9.0,9.0,0.6155942364370004,22.98688762370626
66,66,67,przyjacielski,hojny,1.0,5.0,0.7381026405122525,21.627460874073158
67,67,68,delikatny,nieczuły,0.43,4.57,0.7454583119777917,17.41131379204984
68,68,69,długi,wąski,0.29,5.57,0.6472301693061773,28.6061756483294
69,69,70,duży,ciężki,0.71,5.43,0.5804927568713827,34.6522451273234
70,70,71,szorstki,chłodny,3.86,5.71,0.7187334754265355,19.738464433409504
71,71,72,dziwaczny,dziwny,9.29,9.29,0.9196177836972143,11.511893829878167
72,72,73,nielegalny,niemoralny,0.71,4.0,0.7643927046845692,19.961705259120347
73,73,74,zły,winny,2.0,4.29,0.6136925769923897,35.777681331098485
74,74,75,nowoczesny,starożytny,0.14,6.43,0.6587467813611538,22.696800214063543
75,75,76,nowy,starożytny,0.14,6.0,0.5429603228649599,36.450457403906825
76,76,77,nudny,zabawny,0.14,5.86,0.819728840853879,18.064959531430897
77,77,78,szczęśliwy,młody,0.0,3.43,0.6007758413072785,24.806882288965575
78,78,79,łatwy,duży,0.29,0.29,0.572635414810495,35.96159252837344
79,79,80,wspaniały,okropny,0.29,5.86,0.6153622016350246,20.01238880568407
80,80,81,malutki,ogromny,0.14,6.71,0.5579687215907213,24.816289720078405
81,81,82,uprzejmy,odpowiedni,1.0,2.43,0.6326288498739743,22.096107430530047
82,82,83,skromny,zawstydzony,1.86,3.71,0.7154335636306755,18.376512405405496
83,83,84,egzotyczny,rzadki,5.43,7.29,0.7758410651518987,16.90646181279217
84,84,85,głupi,mądry,0.29,6.71,0.7112316497499538,19.053726121935718
85,85,86,zachwycający,cudowny,9.0,9.71,0.867544464405829,12.161306751174234
86,86,87,zauważalny,oczywisty,5.43,7.57,0.8366949848858861,14.608101129612335
87,88,89,formalny,właściwy,1.71,3.29,0.8276342791960072,17.60167677618893
88,89,90,ponury,nudny,0.57,3.14,0.6411092920612387,24.41542122641481
89,90,91,zachwycający,wesoły,0.57,2.57,0.5693715077422933,21.313135999096293
90,91,92,nieszczęśliwy,szalony,0.43,4.43,0.788823360098629,14.936497848337943
91,92,93,smutny,straszny,0.43,1.57,0.8020714988440281,14.951035002365892
92,93,94,chory,zwariowany,2.14,4.43,0.48683183538345415,30.3600176106832
93,94,95,gwałtowny,gniewny,4.57,6.29,0.7978849501109431,16.6111781835604
94,96,97,brudny,tani,0.0,1.43,0.5076895715800693,33.59943435828223
95,97,98,elastyczny,giętki,9.29,9.29,0.7152747955997057,21.199044448854846
96,98,99,twardy,gęsty,0.86,3.86,0.5880221258792073,26.252549750711186
97,99,100,niedawny,nowy,6.86,8.57,0.7088265440616215,30.900672270044726
98,100,101,śmiały,dumny,1.14,4.14,0.7215731842363872,20.381500471115466
99,101,102,dziwny,przebiegły,0.29,2.14,0.6158586802731347,23.8774226921472
100,102,103,dziwny,chytry,1.43,2.0,0.5141801327204686,25.31015562332814
101,104,105,przebiegły,twardy,0.0,0.14,0.44947184705723814,25.931147186994696
102,105,106,niesamowity,szalony,1.71,3.43,0.8280162703222914,13.406182207746506
103,106,107,skromny,elastyczny,0.0,0.29,0.669497820598914,23.294390045978435
104,107,108,świeży,rozległy,0.0,0.0,0.5791957537516758,23.700524073203475
105,108,109,ogromny,głupi,0.0,0.0,0.13828510146240583,36.427012365439374
